match;round;round_begin;frame_nr
11;1;8:14:4;1778640
11;2;8:16:39;1787940
11;3;8:17:56;1792560
11;4;8:19:15;1797300
11;5;8:20:49;1802940
11;6;8:22:9;1807740
11;7;8:23:56;1814160
11;8;8:25:52;1821120
11;9;8:27:39;1827540
11;10;8:28:47;1831620
11;11;8:30:41;1838460
11;12;8:32:7;1843620
11;13;8:34:52;1853520
11;14;8:36:55;1860900
11;15;8:38:21;1866060
11;16;8:41:45;1878300
11;17;8:44:36;1888560
11;18;8:45:46;1892760
11;19;8:47:36;1899360
11;20;8:50:8;1908480
11;21;8:51:4;1911840
11;22;8:52:19;1916340
11;23;8:53:53;1921980
11;24;8:56:42;1932120
11;25;8:59:6;1940760
11;26;9:1:8;1948080
11;27;9:3:50;1957800
11;28;9:6:18;1966680
11;29;9:7:38;1971480
11;30;None;None;None
11;31;None;None;None
11;32;9:14:27;1996020
11;33;9:17:9;2005740
11;34;9:18:5;2009100
11;35;9:20:35;2018100
11;36;9:22:58;2026680
