match;round;round_begin;frame_nr
3;1;4:21:36;941760
3;2;4:24:42;952920
3;3;4:27:38;963480
3;4;4:30:46;974760
3;5;4:33:5;983100
3;6;4:34:54;989640
3;7;4:36:45;996300
3;8;4:39:32;1006320
3;9;4:41:52;1014720
3;10;4:44:17;1023420
3;11;4:46:20;1030800
3;12;4:48:40;1039200
3;13;4:50:43;1046580
3;14;4:52:4;1051440
3;15;4:54:21;1059660
3;16;4:58:26;1074360
3;17;5:1:24;1085040
3;18;5:3:39;1093140
3;19;5:5:24;1099440
3;20;5:8:51;1111860
3;21;5:10:45;1118700
3;22;5:14:27;1132020
3;23;5:16:25;1139100
3;24;5:17:37;1143420
3;25;5:19:48;1151280
3;26;5:21:57;1159020
3;27;5:23:58;1166280
3;28;5:33:49;1201740
3;29;5:36:0;1209600
3;30;None;None;None
3;31;None;None;None
3;32;None;None;None
3;33;None;None;None
3;34;None;None;None
3;35;5:53:3;1270980
3;36;5:54:41;1276860
3;37;5:56:49;1284540
3;38;6:0:10;1296600
3;39;6:2:14;1304040
3;40;6:3:57;1310220
3;41;6:6:2;1317720
3;42;6:8:34;1326840
